amount,date,type,gas_cost,time_of_transaction
0.0126422,2022-09-22,overtime,0.0032475,1.12
0.0343745,2022-07-23,regular,0.0027487,3.56
0.0213506,2022-06-25,regular,0.0058836,1.76
0.0451275,2022-01-15,bonus,0.0054615,2.54
0.0446921,2022-03-26,regular,0.0015413,2.62
0.0288524,2022-02-19,overtime,0.0002642,1.36
0.0294885,2022-08-12,bonus,0.0011687,4.72
0.0427417,2022-05-29,overtime,0.0006355,1.56
0.0297643,2022-04-11,bonus,0.0048645,2.99
0.0367932,2022-12-05,overtime,0.0044681,3.36
0.0276679,2022-01-17,overtime,0.0058527,4.46
